Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Bergen - Florida Uib;SN50539;16.09.2025;13,8
Bjørnholt;SN18500;17.09.2025;18,9
Oslo - Blindern;SN18700;17.09.2025;19,9
Oslo - Bygdøy Ii;SN18810;17.09.2025;20,8
Oslo - Hovin;SN18210;17.09.2025;19,4
Tryvannshøgda;SN18950;17.09.2025;17,4
Trondheim - Voll;SN68860;17.09.2025;13,5
Trondheim - Voll Plu;SN68863;17.09.2025;13,4
Stavanger - Våland;SN44640;17.09.2025;16,7
Bergen - Florida;SN50540;17.09.2025;17,2
Bergen - Florida Uib;SN50539;17.09.2025;17,3
Bjørnholt;SN18500;18.09.2025;15,8
Oslo - Blindern;SN18700;18.09.2025;17,2
Oslo - Bygdøy Ii;SN18810;18.09.2025;18,2
Oslo - Hovin;SN18210;18.09.2025;17,8
Tryvannshøgda;SN18950;18.09.2025;13,6
Trondheim - Voll;SN68860;18.09.2025;15,6
Trondheim - Voll Plu;SN68863;18.09.2025;15,7
Stavanger - Våland;SN44640;18.09.2025;16
Bergen - Florida;SN50540;18.09.2025;15,1
Bergen - Florida Uib;SN50539;18.09.2025;15,1
Bjørnholt;SN18500;19.09.2025;17
Oslo - Blindern;SN18700;19.09.2025;19,4
Oslo - Bygdøy Ii;SN18810;19.09.2025;18,8
Oslo - Hovin;SN18210;19.09.2025;18,3
Tryvannshøgda;SN18950;19.09.2025;14,8
Trondheim - Voll;SN68860;19.09.2025;14,5
Trondheim - Voll Plu;SN68863;19.09.2025;14,5
Stavanger - Våland;SN44640;19.09.2025;16,1
Bergen - Florida;SN50540;19.09.2025;15,7
Bergen - Florida Uib;SN50539;19.09.2025;15,7
Bjørnholt;SN18500;20.09.2025;14,9
Oslo - Blindern;SN18700;20.09.2025;16,7
Oslo - Bygdøy Ii;SN18810;20.09.2025;17,2
Oslo - Hovin;SN18210;20.09.2025;16,6
Tryvannshøgda;SN18950;20.09.2025;13,4
Trondheim - Voll;SN68860;20.09.2025;13,9
Trondheim - Voll Plu;SN68863;20.09.2025;13,9
Stavanger - Våland;SN44640;20.09.2025;15,1
Bergen - Florida;SN50540;20.09.2025;15,8
Bergen - Florida Uib;SN50539;20.09.2025;15,8
Bjørnholt;SN18500;21.09.2025;14,2
Oslo - Blindern;SN18700;21.09.2025;16,5
Oslo - Bygdøy Ii;SN18810;21.09.2025;16,2
Oslo - Hovin;SN18210;21.09.2025;15,2
Tryvannshøgda;SN18950;21.09.2025;12,5
Trondheim - Voll;SN68860;21.09.2025;10,9
Trondheim - Voll Plu;SN68863;21.09.2025;10,7
Stavanger - Våland;SN44640;21.09.2025;13
Bergen - Florida;SN50540;21.09.2025;13,1
Bergen - Florida Uib;SN50539;21.09.2025;13,1
Bjørnholt;SN18500;22.09.2025;13,1
Oslo - Blindern;SN18700;22.09.2025;14,4
Oslo - Bygdøy Ii;SN18810;22.09.2025;14,4
Oslo - Hovin;SN18210;22.09.2025;14,8
Tryvannshøgda;SN18950;22.09.2025;11,4
Trondheim - Voll;SN68860;22.09.2025;8,7
Trondheim - Voll Plu;SN68863;22.09.2025;8,8
Stavanger - Våland;SN44640;22.09.2025;12,2
Bergen - Florida;SN50540;22.09.2025;11,4
Bergen - Florida Uib;SN50539;22.09.2025;11,5
Bjørnholt;SN18500;23.09.2025;13,3
Oslo - Blindern;SN18700;23.09.2025;14,4
Oslo - Bygdøy Ii;SN18810;23.09.2025;14,8
Oslo - Hovin;SN18210;23.09.2025;13,9
Tryvannshøgda;SN18950;23.09.2025;12,4
Trondheim - Voll;SN68860;23.09.2025;9,1
Trondheim - Voll Plu;SN68863;23.09.2025;9
Stavanger - Våland;SN44640;23.09.2025;13,7
Bergen - Florida;SN50540;23.09.2025;13,8
Bergen - Florida Uib;SN50539;23.09.2025;13,9
Bjørnholt;SN18500;24.09.2025;14,9
Oslo - Blindern;SN18700;24.09.2025;15,8
Oslo - Bygdøy Ii;SN18810;24.09.2025;16,3
Oslo - Hovin;SN18210;24.09.2025;16
Tryvannshøgda;SN18950;24.09.2025;13,1
Trondheim - Voll;SN68860;24.09.2025;12,4
Trondheim - Voll Plu;SN68863;24.09.2025;12,5
Stavanger - Våland;SN44640;24.09.2025;14,5
Bergen - Florida;SN50540;24.09.2025;15,3
Bergen - Florida Uib;SN50539;24.09.2025;15,3
Bjørnholt;SN18500;25.09.2025;15,1
Oslo - Blindern;SN18700;25.09.2025;16,3
Oslo - Bygdøy Ii;SN18810;25.09.2025;16
Oslo - Hovin;SN18210;25.09.2025;15,9
Tryvannshøgda;SN18950;25.09.2025;12,7
Trondheim - Voll;SN68860;25.09.2025;13,3
Trondheim - Voll Plu;SN68863;25.09.2025;13
Stavanger - Våland;SN44640;25.09.2025;16,8
Bergen - Florida;SN50540;25.09.2025;15,5
Bergen - Florida Uib;SN50539;25.09.2025;15,5
Bjørnholt;SN18500;26.09.2025;15,1
Oslo - Blindern;SN18700;26.09.2025;15,9
Oslo - Bygdøy Ii;SN18810;26.09.2025;16
Oslo - Hovin;SN18210;26.09.2025;16,8
Tryvannshøgda;SN18950;26.09.2025;13,7
Trondheim - Voll;SN68860;26.09.2025;11,6
Trondheim - Voll Plu;SN68863;26.09.2025;11,3
Stavanger - Våland;SN44640;26.09.2025;18,3
Bergen - Florida;SN50540;26.09.2025;17,4
Bergen - Florida Uib;SN50539;26.09.2025;17,4
Bjørnholt;SN18500;27.09.2025;15,6
Oslo - Blindern;SN18700;27.09.2025;16,2
Oslo - Bygdøy Ii;SN18810;27.09.2025;16,6
Oslo - Hovin;SN18210;27.09.2025;16
Tryvannshøgda;SN18950;27.09.2025;13,8
Trondheim - Voll;SN68860;27.09.2025;21,3
Trondheim - Voll Plu;SN68863;27.09.2025;21,4
Stavanger - Våland;SN44640;27.09.2025;17,7
Bergen - Florida;SN50540;27.09.2025;19,5
Bergen - Florida Uib;SN50539;27.09.2025;19,6
Bjørnholt;SN18500;28.09.2025;11,9
Oslo - Blindern;SN18700;28.09.2025;13,8
Oslo - Bygdøy Ii;SN18810;28.09.2025;13,8
Oslo - Hovin;SN18210;28.09.2025;13,4
Tryvannshøgda;SN18950;28.09.2025;11
Trondheim - Voll;SN68860;28.09.2025;17,8
Trondheim - Voll Plu;SN68863;28.09.2025;17,7
Stavanger - Våland;SN44640;28.09.2025;15,9
Bergen - Florida;SN50540;28.09.2025;13,7
Bergen - Florida Uib;SN50539;28.09.2025;13,8
Bjørnholt;SN18500;29.09.2025;12,3
Oslo - Blindern;SN18700;29.09.2025;14,7
Oslo - Bygdøy Ii;SN18810;29.09.2025;16
Oslo - Hovin;SN18210;29.09.2025;15
Tryvannshøgda;SN18950;29.09.2025;11,5
Trondheim - Voll;SN68860;29.09.2025;17,1
Trondheim - Voll Plu;SN68863;29.09.2025;17,3
Stavanger - Våland;SN44640;29.09.2025;15,1
Bergen - Florida;SN50540;29.09.2025;15
Bergen - Florida Uib;SN50539;29.09.2025;14,9
Bjørnholt;SN18500;30.09.2025;10,9
Oslo - Blindern;SN18700;30.09.2025;13
Oslo - Bygdøy Ii;SN18810;30.09.2025;13,1
Oslo - Hovin;SN18210;30.09.2025;12,4
Tryvannshøgda;SN18950;30.09.2025;9,1
Trondheim - Voll;SN68860;30.09.2025;15,3
Trondheim - Voll Plu;SN68863;30.09.2025;15,1
Stavanger - Våland;SN44640;30.09.2025;16,5
Bergen - Florida;SN50540;30.09.2025;17,3
Bergen - Florida Uib;SN50539;30.09.2025;17,3
Bjørnholt;SN18500;01.10.2025;8,5
Oslo - Blindern;SN18700;01.10.2025;10,8
Oslo - Bygdøy Ii;SN18810;01.10.2025;11,3
Oslo - Hovin;SN18210;01.10.2025;11
Tryvannshøgda;SN18950;01.10.2025;6,7
Trondheim - Voll;SN68860;01.10.2025;14,7
Trondheim - Voll Plu;SN68863;01.10.2025;14,7
Stavanger - Våland;SN44640;01.10.2025;14,9
Bergen - Florida;SN50540;01.10.2025;14,7
Bergen - Florida Uib;SN50539;01.10.2025;14,7
Bjørnholt;SN18500;02.10.2025;10,2
Oslo - Blindern;SN18700;02.10.2025;14,2
Oslo - Bygdøy Ii;SN18810;02.10.2025;14,3
Oslo - Hovin;SN18210;02.10.2025;13,4
Tryvannshøgda;SN18950;02.10.2025;8,4
Trondheim - Voll;SN68860;02.10.2025;15
Trondheim - Voll Plu;SN68863;02.10.2025;14,9
Stavanger - Våland;SN44640;02.10.2025;13,7
Bergen - Florida;SN50540;02.10.2025;14,3
Bergen - Florida Uib;SN50539;02.10.2025;14,3
Bjørnholt;SN18500;03.10.2025;9,8
Oslo - Blindern;SN18700;03.10.2025;13,1
Oslo - Bygdøy Ii;SN18810;03.10.2025;13,7
Oslo - Hovin;SN18210;03.10.2025;13,4
Tryvannshøgda;SN18950;03.10.2025;8,4
Trondheim - Voll;SN68860;03.10.2025;13,9
Trondheim - Voll Plu;SN68863;03.10.2025;13,8
Stavanger - Våland;SN44640;03.10.2025;13,8
Bergen - Florida;SN50540;03.10.2025;15,8
Bergen - Florida Uib;SN50539;03.10.2025;15,8
Bjørnholt;SN18500;04.10.2025;8,1
Oslo - Blindern;SN18700;04.10.2025;10,9
Oslo - Bygdøy Ii;SN18810;04.10.2025;11,5
Oslo - Hovin;SN18210;04.10.2025;10,9
Tryvannshøgda;SN18950;04.10.2025;7,1
Trondheim - Voll;SN68860;04.10.2025;12,5
Trondheim - Voll Plu;SN68863;04.10.2025;12,4
Stavanger - Våland;SN44640;04.10.2025;12,8
Bergen - Florida;SN50540;04.10.2025;15,6
Bergen - Florida Uib;SN50539;04.10.2025;15,6
Bjørnholt;SN18500;05.10.2025;10,5
Oslo - Blindern;SN18700;05.10.2025;12,3
Oslo - Bygdøy Ii;SN18810;05.10.2025;13
Oslo - Hovin;SN18210;05.10.2025;12,8
Tryvannshøgda;SN18950;05.10.2025;8,6
Trondheim - Voll;SN68860;05.10.2025;13,5
Trondheim - Voll Plu;SN68863;05.10.2025;13,5
Stavanger - Våland;SN44640;05.10.2025;15,2
Bergen - Florida;SN50540;05.10.2025;17
Bergen - Florida Uib;SN50539;05.10.2025;17
Bjørnholt;SN18500;06.10.2025;11,7
Oslo - Blindern;SN18700;06.10.2025;13,4
Oslo - Bygdøy Ii;SN18810;06.10.2025;14,1
Oslo - Hovin;SN18210;06.10.2025;13,7
Tryvannshøgda;SN18950;06.10.2025;9,7
Trondheim - Voll;SN68860;06.10.2025;12,4
Trondheim - Voll Plu;SN68863;06.10.2025;12,2
Stavanger - Våland;SN44640;06.10.2025;12,8
Bergen - Florida;SN50540;06.10.2025;11,6
Bergen - Florida Uib;SN50539;06.10.2025;11,7
Bjørnholt;SN18500;07.10.2025;11,7
Oslo - Blindern;SN18700;07.10.2025;13,5
Oslo - Bygdøy Ii;SN18810;07.10.2025;13,7
Oslo - Hovin;SN18210;07.10.2025;13,7
Tryvannshøgda;SN18950;07.10.2025;11,1
Trondheim - Voll;SN68860;07.10.2025;12,6
Trondheim - Voll Plu;SN68863;07.10.2025;12,5
Stavanger - Våland;SN44640;07.10.2025;13,8
Bergen - Florida;SN50540;07.10.2025;13,7
Bergen - Florida Uib;SN50539;07.10.2025;13,8
