Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Oslo - Blindern;SN18700;04.10.2016;11,9
Oslo - Hovin;SN18210;04.10.2016;12,8
Trondheim - Voll;SN68860;04.10.2016;14,6
Stavanger - Våland;SN44640;04.10.2016;16,2
Bergen - Florida;SN50540;04.10.2016;17,4
Bjørnholt;SN18500;05.10.2016;12,3
Oslo - Blindern;SN18700;05.10.2016;13
Oslo - Hovin;SN18210;05.10.2016;14,1
Trondheim - Voll;SN68860;05.10.2016;9,3
Stavanger - Våland;SN44640;05.10.2016;14
Bergen - Florida;SN50540;05.10.2016;15,4
Bjørnholt;SN18500;06.10.2016;12,8
Oslo - Blindern;SN18700;06.10.2016;13,4
Oslo - Hovin;SN18210;06.10.2016;14,4
Trondheim - Voll;SN68860;06.10.2016;8
Stavanger - Våland;SN44640;06.10.2016;16,5
Bergen - Florida;SN50540;06.10.2016;16,1
Bjørnholt;SN18500;07.10.2016;13,4
Oslo - Blindern;SN18700;07.10.2016;14,4
Oslo - Hovin;SN18210;07.10.2016;15,8
Trondheim - Voll;SN68860;07.10.2016;14,7
Stavanger - Våland;SN44640;07.10.2016;16,9
Bergen - Florida;SN50540;07.10.2016;17,7
Bjørnholt;SN18500;08.10.2016;8,9
Oslo - Blindern;SN18700;08.10.2016;11,3
Oslo - Hovin;SN18210;08.10.2016;12,3
Trondheim - Voll;SN68860;08.10.2016;10,6
Stavanger - Våland;SN44640;08.10.2016;13,9
Bergen - Florida;SN50540;08.10.2016;15,5
Bjørnholt;SN18500;09.10.2016;4,7
Oslo - Blindern;SN18700;09.10.2016;7,1
Oslo - Hovin;SN18210;09.10.2016;8
Trondheim - Voll;SN68860;09.10.2016;10,6
Stavanger - Våland;SN44640;09.10.2016;10,9
Bergen - Florida;SN50540;09.10.2016;13,8
Bjørnholt;SN18500;10.10.2016;8,5
Oslo - Blindern;SN18700;10.10.2016;9,2
Trondheim - Voll;SN68860;10.10.2016;9,6
Stavanger - Våland;SN44640;10.10.2016;13,5
Bergen - Florida;SN50540;10.10.2016;15
Bjørnholt;SN18500;11.10.2016;3,5
Oslo - Blindern;SN18700;11.10.2016;6,2
Trondheim - Voll;SN68860;11.10.2016;6,4
Stavanger - Våland;SN44640;11.10.2016;11,5
